,X1,Provider Name,DBA Name,State,Census Block FIPS Code,Technology Code,Consumer,Max Advertised Downstream Speed (mbps),Max Advertised Upstream Speed (mbps),Business
905,905,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,AR,050279504001033,10,1,6,0.512,0
906,906,"Charter Communications, Inc.",Charter Communications Inc,CA,060290048001021,43,1,940,35,1
907,907,Verizon New England Inc.,Verizon New England Inc.,MA,250110405012029,10,1,15,1,1
908,908,Nevada Bell Telephone Company,AT&T Nevada,NV,325100008001013,11,1,18,0.768,0
909,909,"VSAT Systems, LLC",Skycasters,CA,060590524041032,60,1,2,1.3,1
910,910,Verizon New England Inc.,Verizon New England Inc.,MA,250173171022007,10,1,3,0.768,1
911,911,"ViaSat, Inc.",Viasat Inc,UT,490230102001111,60,1,35,3,1
912,912,GCI Communication Corp.,GCI Communication Corp.,AR,051190005003044,60,0,0,0,1
913,913,Neptuno Media,NeptunoNetworks,PR,721270045002011,70,0,0,0,1
914,914,GCI Communication Corp.,GCI Communication Corp.,NE,310719732001015,60,0,0,0,1
915,915,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,TX,484391055114001,12,1,50,10,0
916,916,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,TX,480291809013015,12,1,100,20,0
917,917,"ViaSat, Inc.",Viasat Inc,AL,010872314001125,60,1,100,3,1
918,918,"VSAT Systems, LLC",Skycasters,TX,480090202003002,60,1,2,1.3,1
919,919,"ViaSat, Inc.",Viasat Inc,MN,270290002002135,60,1,35,3,1
920,920,"HNS License Sub, LLC",HughesNet,WY,560139402023092,60,1,25,3,1
921,921,"ViaSat, Inc.",Viasat Inc,IN,180670003001031,60,1,35,3,1
922,922,"NTUA Wireless, LLC",Choice NTUA Wireless,AZ,040059422011334,70,1,9,2,1
923,923,"VSAT Systems, LLC",Skycasters,MA,250056304001061,60,1,2,1.3,1
924,924,"VSAT Systems, LLC",Skycasters,CO,080010084021298,60,1,2,1.3,1
925,925,Illinois Bell Telephone Company,AT&T Illinois,IL,170318118001000,10,1,6,0.512,0
926,926,"ViaSat, Inc.",Viasat Inc,MI,260270017001092,60,1,100,3,1
927,927,"ViaSat, Inc.",Viasat Inc,VA,517100024002011,60,1,100,3,1
928,928,"VSAT Systems, LLC",Skycasters,ID,160139601002231,60,1,2,1.3,1
